# frames/before/exact-open/
frame                          ink px     ink box (x,y,w,h)        centre        offset from viewport centre
f062-04451ms.png              328150  (    0,   0, 1707, 888)  (  853.0, 443.5)  dx=     0.0  dy=   -5.0
f063-04496ms.png              328150  (    0,   0, 1707, 888)  (  853.0, 443.5)  dx=     0.0  dy=   -5.0
f064-04557ms.png              328150  (    0,   0, 1707, 888)  (  853.0, 443.5)  dx=     0.0  dy=   -5.0
f065-04605ms.png              328150  (    0,   0, 1707, 888)  (  853.0, 443.5)  dx=     0.0  dy=   -5.0
f066-04658ms.png              328150  (    0,   0, 1707, 888)  (  853.0, 443.5)  dx=     0.0  dy=   -5.0
f067-04711ms.png              328150  (    0,   0, 1707, 888)  (  853.0, 443.5)  dx=     0.0  dy=   -5.0
f068-04765ms.png              328150  (    0,   0, 1707, 888)  (  853.0, 443.5)  dx=     0.0  dy=   -5.0
f069-04815ms.png              328150  (    0,   0, 1707, 888)  (  853.0, 443.5)  dx=     0.0  dy=   -5.0
f070-04864ms.png              328150  (    0,   0, 1707, 888)  (  853.0, 443.5)  dx=     0.0  dy=   -5.0
f071-04917ms.png              328150  (    0,   0, 1707, 888)  (  853.0, 443.5)  dx=     0.0  dy=   -5.0
f072-04970ms.png              328150  (    0,   0, 1707, 888)  (  853.0, 443.5)  dx=     0.0  dy=   -5.0
f073-05027ms.png              328150  (    0,   0, 1707, 888)  (  853.0, 443.5)  dx=     0.0  dy=   -5.0
f074-05080ms.png              328150  (    0,   0, 1707, 888)  (  853.0, 443.5)  dx=     0.0  dy=   -5.0
f075-05135ms.png              328150  (    0,   0, 1707, 888)  (  853.0, 443.5)  dx=     0.0  dy=   -5.0
f076-05199ms.png              328150  (    0,   0, 1707, 888)  (  853.0, 443.5)  dx=     0.0  dy=   -5.0
f077-05255ms.png              328150  (    0,   0, 1707, 888)  (  853.0, 443.5)  dx=     0.0  dy=   -5.0
f078-05308ms.png              328150  (    0,   0, 1707, 888)  (  853.0, 443.5)  dx=     0.0  dy=   -5.0
f079-05363ms.png              328150  (    0,   0, 1707, 888)  (  853.0, 443.5)  dx=     0.0  dy=   -5.0
f080-05413ms.png              328150  (    0,   0, 1707, 888)  (  853.0, 443.5)  dx=     0.0  dy=   -5.0
f081-05463ms.png              328150  (    0,   0, 1707, 888)  (  853.0, 443.5)  dx=     0.0  dy=   -5.0
f082-05508ms.png              328150  (    0,   0, 1707, 888)  (  853.0, 443.5)  dx=     0.0  dy=   -5.0
f083-05552ms.png              328150  (    0,   0, 1707, 888)  (  853.0, 443.5)  dx=     0.0  dy=   -5.0
f084-05599ms.png              328150  (    0,   0, 1707, 888)  (  853.0, 443.5)  dx=     0.0  dy=   -5.0
f085-05647ms.png              328150  (    0,   0, 1707, 888)  (  853.0, 443.5)  dx=     0.0  dy=   -5.0
f086-05692ms.png              328150  (    0,   0, 1707, 888)  (  853.0, 443.5)  dx=     0.0  dy=   -5.0
f087-05738ms.png              328150  (    0,   0, 1707, 888)  (  853.0, 443.5)  dx=     0.0  dy=   -5.0
f088-05787ms.png              328150  (    0,   0, 1707, 888)  (  853.0, 443.5)  dx=     0.0  dy=   -5.0
f089-05833ms.png              328150  (    0,   0, 1707, 888)  (  853.0, 443.5)  dx=     0.0  dy=   -5.0
f090-05879ms.png              328150  (    0,   0, 1707, 888)  (  853.0, 443.5)  dx=     0.0  dy=   -5.0
f091-05925ms.png              328150  (    0,   0, 1707, 888)  (  853.0, 443.5)  dx=     0.0  dy=   -5.0
f092-05975ms.png              328150  (    0,   0, 1707, 888)  (  853.0, 443.5)  dx=     0.0  dy=   -5.0
f093-06025ms.png              328150  (    0,   0, 1707, 888)  (  853.0, 443.5)  dx=     0.0  dy=   -5.0
f094-06075ms.png              328150  (    0,   0, 1707, 888)  (  853.0, 443.5)  dx=     0.0  dy=   -5.0
f095-06120ms.png              328150  (    0,   0, 1707, 888)  (  853.0, 443.5)  dx=     0.0  dy=   -5.0
f096-06165ms.png              328150  (    0,   0, 1707, 888)  (  853.0, 443.5)  dx=     0.0  dy=   -5.0
f097-06212ms.png              328150  (    0,   0, 1707, 888)  (  853.0, 443.5)  dx=     0.0  dy=   -5.0
f098-06258ms.png              328150  (    0,   0, 1707, 888)  (  853.0, 443.5)  dx=     0.0  dy=   -5.0
f099-06304ms.png              328150  (    0,   0, 1707, 888)  (  853.0, 443.5)  dx=     0.0  dy=   -5.0
f100-06350ms.png              328150  (    0,   0, 1707, 888)  (  853.0, 443.5)  dx=     0.0  dy=   -5.0
f101-06395ms.png              328150  (    0,   0, 1707, 888)  (  853.0, 443.5)  dx=     0.0  dy=   -5.0
f102-06442ms.png              328150  (    0,   0, 1707, 888)  (  853.0, 443.5)  dx=     0.0  dy=   -5.0
f103-06503ms.png              328150  (    0,   0, 1707, 888)  (  853.0, 443.5)  dx=     0.0  dy=   -5.0
f104-06565ms.png              328150  (    0,   0, 1707, 888)  (  853.0, 443.5)  dx=     0.0  dy=   -5.0
f105-06610ms.png              328150  (    0,   0, 1707, 888)  (  853.0, 443.5)  dx=     0.0  dy=   -5.0
f106-06661ms.png              328150  (    0,   0, 1707, 888)  (  853.0, 443.5)  dx=     0.0  dy=   -5.0
f107-06713ms.png              328150  (    0,   0, 1707, 888)  (  853.0, 443.5)  dx=     0.0  dy=   -5.0
f108-06757ms.png              328150  (    0,   0, 1707, 888)  (  853.0, 443.5)  dx=     0.0  dy=   -5.0
f109-06808ms.png              328150  (    0,   0, 1707, 888)  (  853.0, 443.5)  dx=     0.0  dy=   -5.0
f110-06860ms.png              328150  (    0,   0, 1707, 888)  (  853.0, 443.5)  dx=     0.0  dy=   -5.0
f111-06912ms.png              328150  (    0,   0, 1707, 888)  (  853.0, 443.5)  dx=     0.0  dy=   -5.0
f112-06958ms.png              328150  (    0,   0, 1707, 888)  (  853.0, 443.5)  dx=     0.0  dy=   -5.0
f113-07007ms.png              328150  (    0,   0, 1707, 888)  (  853.0, 443.5)  dx=     0.0  dy=   -5.0
f114-07056ms.png              328150  (    0,   0, 1707, 888)  (  853.0, 443.5)  dx=     0.0  dy=   -5.0
